tmdb_id,userId,rating
157336,1,5.0
157336,2,3.5
157336,3,4.5
157336,4,5.0
157336,5,4.0
157336,6,4.5
157336,7,5.0
157336,8,5.0
157336,9,4.0
157336,10,4.0
157336,11,3.0
157336,12,4.0
157336,13,4.0
157336,14,4.0
157336,15,4.5
157336,16,3.0
157336,17,5.0
157336,18,4.5
157336,19,5.0
157336,20,3.0
157336,21,4.5
157336,22,3.5
157336,23,5.0
157336,24,5.0
157336,25,5.0
157336,26,5.0
157336,27,4.5
157336,28,5.0
157336,29,4.5
157336,30,5.0
157336,31,2.5
157336,32,5.0
157336,33,4.0
157336,34,5.0
157336,35,4.5
157336,36,3.0
157336,37,5.0
157336,38,4.5
157336,39,4.5
157336,40,5.0
157336,41,4.0
157336,42,5.0
157336,43,4.5
157336,44,4.0
157336,45,5.0
157336,46,4.5
157336,47,5.0
157336,48,5.0
157336,49,5.0
157336,50,5.0
157336,51,3.0
157336,52,4.5
157336,53,5.0
157336,54,4.0
157336,55,4.0
157336,56,5.0
157336,57,4.5
157336,58,3.0
157336,59,3.5
157336,60,4.0
157336,61,4.5
157336,62,4.0
157336,63,4.0
157336,64,4.5
157336,65,3.5
157336,66,4.0
157336,67,4.5
157336,68,4.5
157336,69,4.0
157336,70,3.5
157336,71,5.0
157336,72,4.0
157336,73,4.0
157336,74,4.5
157336,75,4.0
157336,76,2.5
157336,77,3.0
157336,78,5.0
157336,79,3.0
157336,80,4.0
157336,81,5.0
157336,82,4.5
157336,83,1.0
157336,84,5.0
157336,85,2.0
157336,86,5.0
157336,87,4.5
157336,88,5.0
157336,89,4.5
157336,90,4.5
157336,91,4.0
157336,92,3.5
157336,93,5.0
157336,94,2.0
157336,95,4.0
157336,96,4.5
157336,97,4.0
157336,98,5.0
157336,99,4.5
157336,100,4.0
157336,101,5.0
157336,102,3.0
157336,103,4.0
157336,104,4.0
157336,105,5.0
157336,106,3.5
157336,107,1.0
157336,108,3.0
157336,109,5.0
157336,110,5.0
157336,111,5.0
157336,112,2.5
157336,113,5.0
157336,114,3.5
157336,115,3.5
157336,116,5.0
157336,117,4.0
157336,118,5.0
157336,119,5.0
157336,120,3.0
157336,121,2.0
157336,122,4.5
157336,123,5.0
157336,124,4.5
157336,125,4.5
157336,126,3.5
157336,127,5.0
157336,128,5.0
157336,129,3.5
157336,130,2.5
157336,131,5.0
157336,132,1.0
157336,133,3.5
157336,134,4.0
157336,135,4.0
157336,136,5.0
157336,137,4.5
157336,138,3.5
157336,139,5.0
